10		Lahko	Anseriformes	Sorsalinnut		
30		CYGOLO	Cygnus olor	Kyhmyjoutsen	Knölsvan	Mute Swan
40	x	CYGCOL	Cygnus columbianus	Pikkujoutsen	Mindre sångsvan	Tundra Swan
50		CYGCYG	Cygnus cygnus	Laulujoutsen	Sångsvan	Whooper Swan
60		ANSFAB	Anser fabalis	Metsähanhi	Sädgås	Bean Goose
70	x	ANSBRA	Anser brachyrhynchus	Lyhytnokkahanhi	Spetsbergsgås	Pink-footed Goose
80	x	ANSALB	Anser albifrons	Tundrahanhi	Bläsgås	Greater White-fronted Goose
90	x	ANSERY	Anser erythropus	Kiljuhanhi	Fjällgås	Lesser White-fronted Goose
100		ANSANS	Anser anser	Merihanhi	Grågås	Greylag Goose
110	x	ANSCAE	Anser caerulescens	Lumihanhi	Snögås	Snow Goose
120		BRACAN	Branta canadensis	Kanadanhanhi	Kanadagås	Canada Goose
130	x	BRAHUT	Branta hutchinsii	Pikkukanadanhanhi	Dvärgkanadagås	Cackling Goose
140		BRALEU	Branta leucopsis	Valkoposkihanhi	Vitkindad gås	Barnacle Goose
150	x	BRABER	Branta bernicla	Sepelhanhi	Prutgås	Brant Goose
160	x	BRARUF	Branta ruficollis	Punakaulahanhi	Rödhalsad gås	Red-breasted Goose
170	x	TADFER	Tadorna ferruginea	Ruostesorsa	Rostand	Ruddy Shelduck
180		TADTAD	Tadorna tadorna	Ristisorsa	Gravand	Common Shelduck
190	x	AIXGAL	Aix galericulata	Mandariinisorsa	Mandarinand	Mandarin Duck
200		ANAPEN	Anas penelope	Haapana	Bläsand	Eurasian Wigeon
210	x	ANAAME	Anas americana	Amerikanhaapana	Amerikansk bläsand	American Wigeon
220		ANASTR	Anas strepera	Harmaasorsa	Snatterand	Gadwall
230		ANACRE	Anas crecca	Tavi	Kricka	Eurasian Teal
240	x	ANACAR	Anas carolinensis	Amerikantavi	Amerikansk kricka	Green-winged Teal
250		ANAPLA	Anas platyrhynchos	Sinisorsa	Gräsand	Mallard
260	x	ANARUB	Anas rubripes	Nokisorsa	Svartand	American Black Duck
270		ANAACU	Anas acuta	Jouhisorsa	Stjärtand	Northern Pintail
280		ANAQUE	Anas querquedula	Heinätavi	Ã…rta	Garganey
290	x	ANADIS	Anas discors	Sinisiipitavi	Blåvingad årta	Blue-winged Teal
300		ANACLY	Anas clypeata	Lapasorsa	Skedand	Northern Shoveler
310	x	NETRUF	Netta rufina	Punapäänarsku	Rödhuvad dykand	Red-crested Pochard
320		AYTFER	Aythya ferina	Punasotka	Brunand	Common Pochard
330	x	AYTCOL	Aythya collaris	Amerikantukkasotka	Ringand	Ring-necked Duck
340	x	AYTNYR	Aythya nyroca	Ruskosotka	Vitögd dykand	Ferruginous Duck
350		AYTFUL	Aythya fuligula	Tukkasotka	Vigg	Tufted Duck
360		AYTMAR	Aythya marila	Lapasotka	Bergand	Greater Scaup
370	x	AYTAFF	Aythya affinis	Pikkulapasotka	Mindre bergand	Lesser Scaup 
380		SOMMOL	Somateria mollissima	Haahka	Ejder	Common Eider
390	x	SOMSPE	Somateria spectabilis	Kyhmyhaahka	Praktejder	King Eider
400	x	POLSTE	Polysticta stelleri	Allihaahka	Alförrädare	Steller's Eider
410	x	HISHIS	Histrionicus histrionicus	Virta-alli	Strömand	Harlequin Duck
420		CLAHYE	Clangula hyemalis	Alli	Alfågel	Long-tailed Duck
430		MELNIG	Melanitta nigra	Mustalintu	Sjöorre	Common Scoter
440	x	MELAME	Melanitta americana	Amerikanmustalintu	Amerikansk sjöorre	Black Scoter
450	x	MELPER	Melanitta perspicillata	Pilkkaniska	Vitnackad svärta	Surf Scoter
460		MELFUS	Melanitta fusca	Pilkkasiipi	Svärta	Velvet Scoter
470	x	MELDEG	Melanitta deglandi	Kyhmypilkkasiipi	Knölsvärta	White-winged Scoter
480		BUCCLA	Bucephala clangula	Telkkä	Knipa	Common Goldeneye
490		MERALB	Mergellus albellus	Uivelo	Salskrake	Smew
500		MERSER	Mergus serrator	Tukkakoskelo	Småskrake	Red-breasted Merganser
510		MERMER	Mergus merganser	Isokoskelo	Storskrake	Common Merganser
520	x	OXYJAM	Oxyura jamaicensis	Kuparisorsa	Amerikansk kopparand	Ruddy Duck
530		Lahko	Galliformes	Kanalinnut		
550	x	COTCOT	Coturnix coturnix	Viiriäinen	Vaktel	Common Quail
560		TETBON	Tetrastes bonasia	Pyy	Järpe	Hazel Grouse
570		LAGLAG	Lagopus lagopus	Riekko	Dalripa	Willow Ptarmigan
580	x	LAGMUT	Lagopus muta	Kiiruna	Fjällripa	Rock Ptarmigan
590		TETRIX	Tetrao tetrix	Teeri	Orre	Black Grouse
600		TETURO	Tetrao urogallus	Metso	Tjäder	Western Capercaillie
610		PERPER	Perdix perdix	Peltopyy	Rapphöna	Grey Partridge
620		PHACOL	Phasianus colchicus	Fasaani	Fasan	Common Pheasant
630		Lahko	Gaviiformes	Kuikkalinnut		
650		GAVSTE	Gavia stellata	Kaakkuri	Smålom	Red-throated Loon
660		GAVARC	Gavia arctica	Kuikka	Storlom	Black-throated Loon
670	x	GAVPAC	Gavia pacifica	Tundrakuikka	Stillahavslom	Pacific Loon  
680	x	GAVIMM	Gavia immer	Amerikanjääkuikka	Svartnäbbad islom	Great Northern Loon
690	x	GAVADA	Gavia adamsii	Jääkuikka	Vitnäbbad islom	Yellow-billed Loon
700		Lahko	Podicipediformes	Uikkulinnut		
720	x	TACRUF	Tachybaptus ruficollis	Pikku-uikku	Smådopping	Little Grebe
730		PODCRI	Podiceps cristatus	Silkkiuikku	Skäggdopping	Great Crested Grebe
740		PODGRI	Podiceps grisegena	Härkälintu	Gråhakedopping	Red-necked Grebe
750		PODAUR	Podiceps auritus	Mustakurkku-uikku	Svarthakedopping	Horned Grebe
760	x	PODNIG	Podiceps nigricollis	Mustakaulauikku	Svarthalsad dopping	Black-necked Grebe
770	x	Lahko	Procellariiformes	Ulappalinnut		
790	x	FULGLA	Fulmarus glacialis	Myrskylintu	Stormfågel	Northern Fulmar
800	x	PUFGRI	Puffinus griseus	Nokiliitäjä	Grålira	Sooty Shearwater
810	x	PUFPUF	Puffinus puffinus	Pikkuliitäjä	Mindre lira	Manx Shearwater
830	x	HYDPEL	Hydrobates pelagicus	Merikeiju	Stormsvala	European Storm Petrel
840	x	OCELEU	Oceanodroma leucorhoa	Myrskykeiju	Klykstjärtad stormsvala	Leach's Storm Petrel
850	x	OCECAS	Oceanodroma castro	Madeirankeiju	Oceanlöpare	Band-rumped Storm Petrel
860		Lahko	Pelecaniformes	Pelikaanilinnut		
880	x	MORBAS	Morus bassanus	Suula	Havssula	Northern Gannet
900		PHACAR	Phalacrocorax carbo	Merimetso	Storskarv	Great Cormorant
